id,id_str,name,screen_name,location,description,url,entities,protected,followers_count,fast_followers_count,normal_followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,media_count,lang,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_image_extensions_alt_text,profile_image_extensions_media_availability,profile_image_extensions_media_color,profile_image_extensions,profile_banner_extensions_alt_text,profile_banner_extensions_media_availability,profile_banner_extensions_media_color,profile_banner_extensions,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,pinned_tweet_ids,pinned_tweet_ids_str,has_custom_timelines,can_dm,following,follow_request_sent,notifications,muting,blocking,blocked_by,want_retweets,advertiser_account_type,advertiser_account_service_levels,profile_interstitial_type,business_profile_state,translator_type,withheld_in_countries,followed_by,ext,require_some_consent,search_reporter_name
796966841423794176,796966841423794176,読売新聞西部本社広報宣伝部,yomiuriskoho,福岡 福岡市 中央区,九州・山口の読売新聞主催イベントや他企業とコラボした活動を紹介しています。また、読売新聞に掲載されたちょっといい話、グループ他社の活動も随時載せています。皆さんに喜んでもらえるツイートを目指しますので、リツイートよろしくお願いします。,,{'description': {'urls': []}},False,487,0,487,19,32,Fri Nov 11 06:44:36 +0000 2016,12,,,True,True,340,31,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/796985121479868416/OrvUgQG6_normal.jpg,https://pbs.twimg.com/profile_images/796985121479868416/OrvUgQG6_normal.jpg,https://pbs.twimg.com/profile_banners/796966841423794176/1478851128,,,"{'palette': [{'rgb': {'red': 1, 'green': 204, 'blue': 255}, 'percentage': 79.86}, {'rgb': {'red': 244, 'green': 249, 'blue': 253}, 'percentage': 18.63}, {'rgb': {'red': 158, 'green': 238, 'blue': 249}, 'percentage': 1.04}, {'rgb': {'red': 166, 'green': 231, 'blue': 253}, 'percentage': 0.45}]}","{'mediaStats': {'r': {'missing': None}, 'ttl': -1}}",,,"{'palette': [{'rgb': {'red': 51, 'green': 46, 'blue': 42}, 'percentage': 31.36}, {'rgb': {'red': 168, 'green': 164, 'blue': 165}, 'percentage': 22.91}, {'rgb': {'red': 89, 'green': 74, 'blue': 35}, 'percentage': 15.19}, {'rgb': {'red': 158, 'green': 191, 'blue': 234}, 'percentage': 8.12}, {'rgb': {'red': 50, 'green': 57, 'blue': 73}, 'percentage': 6.43}]}","{'mediaStats': {'r': {'missing': None}, 'ttl': -1}}",1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,,,False,,,,,,,,,promotable_user,analytics,,none,none,,,"{'highlightedLabel': {'r': {'ok': {}}, 'ttl': -1}}",False,随時掲載します
1382960885036056576,1382960885036056576,恩田さん（読売新聞オンライン）,onda3_yomiuri,基本テレワーク、時々大手町,読売新聞オンライン（ＹＯＬ）の「恩田頼多」です。ＹＯＬの運営やサービスを担当する、いわゆる「中の人」です。時々コラムを書いています。こぼれ話やお得な情報、面白かったニュースなどを気まぐれに呟いていきます。アカウントは読売新聞東京本社メディア局オンライン部が運営しています。勤務先→@Yomiuri_Online,https://t.co/jRtc27hZ0F,"{'url': {'urls': [{'url': 'https://t.co/jRtc27hZ0F', 'expanded_url': 'https://www.yomiuri.co.jp/life/digilife/online/20210218-SYT8T1833232/', 'display_url': 'yomiuri.co.jp/life/digilife/…', 'indices': [0, 23]}]}, 'description': {'urls': []}}",False,8205,0,8205,133,21,Fri Apr 16 07:35:55 +0000 2021,1308,,,False,False,885,309,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1382962322491142144/4ao8vr0x_normal.jpg,https://pbs.twimg.com/profile_images/1382962322491142144/4ao8vr0x_normal.jpg,https://pbs.twimg.com/profile_banners/1382960885036056576/1618558911,,,"{'palette': [{'rgb': {'red': 255, 'green': 255, 'blue': 255}, 'percentage': 73.63}, {'rgb': {'red': 0, 'green': 0, 'blue': 0}, 'percentage': 21.89}, {'rgb': {'red': 143, 'green': 70, 'blue': 34}, 'percentage': 1.56}, {'rgb': {'red': 124, 'green': 109, 'blue': 103}, 'percentage': 1.21}, {'rgb': {'red': 190, 'green': 187, 'blue': 218}, 'percentage': 0.51}]}","{'mediaStats': {'r': {'missing': None}, 'ttl': -1}}",,,"{'palette': [{'rgb': {'red': 253, 'green': 253, 'blue': 253}, 'percentage': 67.93}, {'rgb': {'red': 0, 'green': 120, 'blue': 255}, 'percentage': 10.79}, {'rgb': {'red': 14, 'green': 14, 'blue': 14}, 'percentage': 6.3}, {'rgb': {'red': 0, 'green': 200, 'blue': 0}, 'percentage': 3.16}, {'rgb': {'red': 5, 'green': 61, 'blue': 121}, 'percentage': 1.65}]}","{'mediaStats': {'r': {'missing': None}, 'ttl': -1}}",1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,[1486488809902465024],1486488809902465024,False,,,,,,,,,promotable_user,analytics,,none,none,,,"{'highlightedLabel': {'r': {'ok': {}}, 'ttl': -1}}",False,読売新聞オンライン
494807654,494807654,読売新聞 経済,YOL_economy,東京都千代田区,読売新聞オンラインの「経済」コーナーです。毎日の家計管理から資産運用、国際金融まで、深い内容の記事・分かりやすい解説が持ち味。また、著名企業人の成功のノウハウや、専門家による為替や投資のアドバイスも必見です。,http://t.co/d3lYGcOX2l,"{'url': {'urls': [{'url': 'http://t.co/d3lYGcOX2l', 'expanded_url': 'http://www.yomiuri.co.jp/economy/', 'display_url': 'yomiuri.co.jp/economy/', 'indices': [0, 22]}]}, 'description': {'urls': []}}",False,44003,0,44003,13,1075,Fri Feb 17 08:42:42 +0000 2012,0,,,False,True,32337,5,,False,False,False,FFFFFF,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1082848603662471168/dx4IkAR8_normal.jpg,https://pbs.twimg.com/profile_images/1082848603662471168/dx4IkAR8_normal.jpg,https://pbs.twimg.com/profile_banners/494807654/1402465634,,,"{'palette': [{'rgb': {'red': 255, 'green': 255, 'blue': 255}, 'percentage': 56.85}, {'rgb': {'red': 34, 'green': 145, 'blue': 34}, 'percentage': 31.82}, {'rgb': {'red': 39, 'green': 28, 'blue': 26}, 'percentage': 7.76}, {'rgb': {'red': 40, 'green': 87, 'blue': 40}, 'percentage': 1.13}, {'rgb': {'red': 127, 'green': 176, 'blue': 129}, 'percentage': 0.57}]}","{'mediaStats': {'r': {'missing': None}, 'ttl': -1}}",,,"{'palette': [{'rgb': {'red': 246, 'green': 249, 'blue': 249}, 'percentage': 97.44}, {'rgb': {'red': 163, 'green': 238, 'blue': 244}, 'percentage': 1.34}, {'rgb': {'red': 127, 'green': 138, 'blue': 149}, 'percentage': 1.22}]}","{'mediaStats': {'r': {'missing': None}, 'ttl': -1}}",0C6C0B,FFFFFF,DDEEF6,333333,True,False,False,False,,,False,,,,,,,,,none,,,none,none,,,"{'highlightedLabel': {'r': {'ok': {}}, 'ttl': -1}}",False,読売新聞オンライン
945213978,945213978,営業コーチ 大倉成人（ナリリン）,narihito6,大阪府守口市,"これまで２７年間営業マンとして働いてきましたが、自分のスキルアップのために敢えて異業種を選んで転職してきました。 　 その中で培った独自の営業ノウハウをブログやメルマガで発信しています。（読売新聞オンラインなどにも寄稿させていただいてます。） 　 
営業で悩んでおられる方、気軽にフォローして下さいね。",https://t.co/h4yzZhdjWJ,"{'url': {'urls': [{'url': 'https://t.co/h4yzZhdjWJ', 'expanded_url': 'http://damesalesman-saisei.net/', 'display_url': 'damesalesman-saisei.net', 'indices': [0, 23]}]}, 'description': {'urls': []}}",False,3405,0,3405,253,21,Tue Nov 13 05:27:42 +0000 2012,11627,,,False,False,131441,503,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme4/bg.gif,https://abs.twimg.com/images/themes/theme4/bg.gif,False,http://pbs.twimg.com/profile_images/821621633349799937/HAPoml5Y_normal.jpg,https://pbs.twimg.com/profile_images/821621633349799937/HAPoml5Y_normal.jpg,https://pbs.twimg.com/profile_banners/945213978/1484724911,,,,"{'mediaStats': {'r': {'missing': None}, 'ttl': -1}}",,,,"{'mediaStats': {'r': {'missing': None}, 'ttl': -1}}",0084B4,FFFFFF,95E8EC,3C3940,True,False,False,False,[1243362258056441861],1243362258056441861,False,,,,,,,,,promotable_user,analytics,,none,none,,,"{'highlightedLabel': {'r': {'ok': {}}, 'ttl': -1}}",False,読売新聞オンライン
702314981920940032,702314981920940032,読売新聞　選挙,YOL_senkyo,東京 千代田区,読売新聞のニュースサイト・読売新聞オンラインの中から、国政選・地方選に関わる情報を発信しています。,https://t.co/27lpKKFRv7,"{'url': {'urls': [{'url': 'https://t.co/27lpKKFRv7', 'expanded_url': 'http://www.yomiuri.co.jp/election/', 'display_url': 'yomiuri.co.jp/election/', 'indices': [0, 23]}]}, 'description': {'urls': []}}",False,1543,0,1543,10,91,Wed Feb 24 02:11:54 +0000 2016,0,,,False,True,2719,97,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/919411589408735232/Wq3ZVq8l_normal.jpg,https://pbs.twimg.com/profile_images/919411589408735232/Wq3ZVq8l_normal.jpg,https://pbs.twimg.com/profile_banners/702314981920940032/1459388705,,,"{'palette': [{'rgb': {'red': 254, 'green': 254, 'blue': 254}, 'percentage': 56.67}, {'rgb': {'red': 217, 'green': 73, 'blue': 47}, 'percentage': 22.47}, {'rgb': {'red': 231, 'green': 104, 'blue': 87}, 'percentage': 8.87}, {'rgb': {'red': 41, 'green': 36, 'blue': 33}, 'percentage': 7.66}, {'rgb': {'red': 167, 'green': 74, 'blue': 47}, 'percentage': 0.9}]}","{'mediaStats': {'r': {'missing': None}, 'ttl': -1}}",,,"{'palette': [{'rgb': {'red': 217, 'green': 230, 'blue': 216}, 'percentage': 95.82}, {'rgb': {'red': 180, 'green': 215, 'blue': 164}, 'percentage': 4.0}, {'rgb': {'red': 213, 'green': 174, 'blue': 175}, 'percentage': 0.18}]}","{'mediaStats': {'r': {'missing': None}, 'ttl': -1}}",BC361B,000000,000000,000000,True,False,False,False,,,False,,,,,,,,,promotable_user,,,none,none,,,"{'highlightedLabel': {'r': {'ok': {}}, 'ttl': -1}}",False,読売新聞オンライン
109488235,109488235,読売新聞オンライン,Yomiuri_Online,東京都千代田区,読売新聞の公式ニュースアカウントです。最新のニュースや全国の話題をツイートします。新型コロナウイルスに関連する情報はこちら https://t.co/xLjgrv2E2O から。,http://t.co/eUA075GYOq,"{'url': {'urls': [{'url': 'http://t.co/eUA075GYOq', 'expanded_url': 'http://www.yomiuri.co.jp/', 'display_url': 'yomiuri.co.jp', 'indices': [0, 22]}]}, 'description': {'urls': [{'url': 'https://t.co/xLjgrv2E2O', 'expanded_url': 'http://yomiuri.co.jp/topics/covid19/', 'display_url': 'yomiuri.co.jp/topics/covid19/', 'indices': [62, 85]}]}}",False,812345,0,812345,88,24214,Fri Jan 29 06:14:45 +0000 2010,1368,,,True,True,237522,6071,,False,False,False,15008A,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1091035339232227328/elp0X_L6_normal.jpg,https://pbs.twimg.com/profile_images/1091035339232227328/elp0X_L6_normal.jpg,https://pbs.twimg.com/profile_banners/109488235/1547714346,,,"{'palette': [{'rgb': {'red': 255, 'green': 255, 'blue': 255}, 'percentage': 90.19}, {'rgb': {'red': 21, 'green': 21, 'blue': 21}, 'percentage': 7.06}, {'rgb': {'red': 120, 'green': 120, 'blue': 120}, 'percentage': 3.77}]}","{'mediaStats': {'r': {'missing': None}, 'ttl': -1}}",,,"{'palette': [{'rgb': {'red': 33, 'green': 44, 'blue': 68}, 'percentage': 81.98}, {'rgb': {'red': 36, 'green': 50, 'blue': 84}, 'percentage': 13.12}, {'rgb': {'red': 72, 'green': 65, 'blue': 62}, 'percentage': 2.53}, {'rgb': {'red': 103, 'green': 111, 'blue': 120}, 'percentage': 1.84}, {'rgb': {'red': 178, 'green': 196, 'blue': 207}, 'percentage': 0.11}]}","{'mediaStats': {'r': {'missing': None}, 'ttl': -1}}",0084B4,C0DEED,DDEEF6,333333,True,False,False,False,,,True,,,,,,,,,promotable_user,"smb,media_studio",,none,none,,,"{'highlightedLabel': {'r': {'ok': {}}, 'ttl': -1}}",False,読売新聞オンライン
4760422278,4760422278,読売新聞オリンピック・パラリンピック,Yomiuri_gorin,東京 千代田区,#オリンピック #パラリンピック に関する #読売新聞 の報道や事業を紹介します。読売新聞オンラインの特集コーナーでは、北京大会の最新ニュースのほか、競技の日程や見どころ、注目選手の動向などをお伝えしています。→ https://t.co/neZxX5w6Ko🏆🥇🥈🥉,https://t.co/i7gGBlRfpu,"{'url': {'urls': [{'url': 'https://t.co/i7gGBlRfpu', 'expanded_url': 'http://www.yomiuri.co.jp/olympic/', 'display_url': 'yomiuri.co.jp/olympic/', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/neZxX5w6Ko', 'expanded_url': 'http://yomiuri.co.jp/olympic/2022/', 'display_url': 'yomiuri.co.jp/olympic/2022/', 'indices': [107, 130]}]}}",False,8412,0,8412,14,191,Fri Jan 15 00:49:04 +0000 2016,196,,,True,True,8790,1142,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1237577428106498049/mbcWNpn8_normal.jpg,https://pbs.twimg.com/profile_images/1237577428106498049/mbcWNpn8_normal.jpg,https://pbs.twimg.com/profile_banners/4760422278/1643936175,,,"{'palette': [{'rgb': {'red': 255, 'green': 255, 'blue': 255}, 'percentage': 84.7}, {'rgb': {'red': 38, 'green': 31, 'blue': 31}, 'percentage': 12.51}, {'rgb': {'red': 126, 'green': 123, 'blue': 124}, 'percentage': 2.66}]}","{'mediaStats': {'r': {'missing': None}, 'ttl': -1}}",,,"{'palette': [{'rgb': {'red': 17, 'green': 19, 'blue': 39}, 'percentage': 41.52}, {'rgb': {'red': 14, 'green': 18, 'blue': 68}, 'percentage': 20.35}, {'rgb': {'red': 13, 'green': 21, 'blue': 104}, 'percentage': 10.56}, {'rgb': {'red': 76, 'green': 62, 'blue': 58}, 'percentage': 9.48}, {'rgb': {'red': 31, 'green': 44, 'blue': 186}, 'percentage': 2.58}]}","{'mediaStats': {'r': {'missing': None}, 'ttl': -1}}",1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,,,True,,,,,,,,,promotable_user,,,none,none,,,"{'highlightedLabel': {'r': {'ok': {}}, 'ttl': -1}}",False,読売新聞オンライン
494810277,494810277,読売新聞 教育,YOL_kyoiku,東京都千代田区,読売新聞オンラインの「教育」コーナーです。教育関連ニュース・特集・コラム・入試情報などを紹介します。,http://t.co/yKo6wD5anr,"{'url': {'urls': [{'url': 'http://t.co/yKo6wD5anr', 'expanded_url': 'http://www.yomiuri.co.jp/kyoiku/', 'display_url': 'yomiuri.co.jp/kyoiku/', 'indices': [0, 22]}]}, 'description': {'urls': []}}",False,18441,0,18441,21,509,Fri Feb 17 08:47:45 +0000 2012,78,,,False,True,14601,117,,False,False,False,FBA037,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/792943807947874304/rt-ss0HF_normal.jpg,https://pbs.twimg.com/profile_images/792943807947874304/rt-ss0HF_normal.jpg,https://pbs.twimg.com/profile_banners/494810277/1402459061,,,"{'palette': [{'rgb': {'red': 255, 'green': 255, 'blue': 255}, 'percentage': 55.35}, {'rgb': {'red': 242, 'green': 129, 'blue': 34}, 'percentage': 24.94}, {'rgb': {'red': 39, 'green': 28, 'blue': 26}, 'percentage': 7.76}, {'rgb': {'red': 245, 'green': 151, 'blue': 62}, 'percentage': 5.71}, {'rgb': {'red': 246, 'green': 170, 'blue': 110}, 'percentage': 3.34}]}","{'mediaStats': {'r': {'missing': None}, 'ttl': -1}}",,,"{'palette': [{'rgb': {'red': 164, 'green': 221, 'blue': 243}, 'percentage': 91.95}, {'rgb': {'red': 250, 'green': 251, 'blue': 252}, 'percentage': 4.29}, {'rgb': {'red': 102, 'green': 120, 'blue': 128}, 'percentage': 1.62}, {'rgb': {'red': 92, 'green': 192, 'blue': 222}, 'percentage': 1.2}, {'rgb': {'red': 236, 'green': 241, 'blue': 228}, 'percentage': 0.85}]}","{'mediaStats': {'r': {'missing': None}, 'ttl': -1}}",CE4504,C0DEED,DDEEF6,333333,True,False,False,False,,,False,,,,,,,,,promotable_user,analytics,,none,none,,,"{'highlightedLabel': {'r': {'ok': {}}, 'ttl': -1}}",False,読売新聞オンライン
494807056,494807056,読売新聞 文化部,YOL_culture,東京都千代田区,読売新聞東京本社 文化部の公式アカウントです。文芸、音楽、映画、演劇、伝統芸能、歴史などのニュースや話題、メディアや論壇、文化政策の動向を取材しています。,https://t.co/ByrwQaG8tj,"{'url': {'urls': [{'url': 'https://t.co/ByrwQaG8tj', 'expanded_url': 'http://www.yomiuri.co.jp/', 'display_url': 'yomiuri.co.jp', 'indices': [0, 23]}]}, 'description': {'urls': []}}",False,33695,0,33695,40,541,Fri Feb 17 08:41:31 +0000 2012,471,,,False,True,21618,635,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1303171183328673793/IbygFgtP_normal.jpg,https://pbs.twimg.com/profile_images/1303171183328673793/IbygFgtP_normal.jpg,https://pbs.twimg.com/profile_banners/494807056/1402458740,,,"{'palette': [{'rgb': {'red': 255, 'green': 255, 'blue': 255}, 'percentage': 50.0}, {'rgb': {'red': 231, 'green': 105, 'blue': 43}, 'percentage': 39.19}, {'rgb': {'red': 37, 'green': 27, 'blue': 26}, 'percentage': 6.85}, {'rgb': {'red': 221, 'green': 159, 'blue': 118}, 'percentage': 1.75}, {'rgb': {'red': 218, 'green': 121, 'blue': 65}, 'percentage': 0.38}]}","{'mediaStats': {'r': {'missing': None}, 'ttl': -1}}",,,"{'palette': [{'rgb': {'red': 0, 'green': 0, 'blue': 0}, 'percentage': 68.71}, {'rgb': {'red': 242, 'green': 232, 'blue': 201}, 'percentage': 10.68}, {'rgb': {'red': 71, 'green': 106, 'blue': 113}, 'percentage': 4.65}, {'rgb': {'red': 216, 'green': 191, 'blue': 131}, 'percentage': 2.51}, {'rgb': {'red': 255, 'green': 254, 'blue': 253}, 'percentage': 1.36}]}","{'mediaStats': {'r': {'missing': None}, 'ttl': -1}}",EA3A08,FFFFFF,DDEEF6,333333,True,False,False,False,,,False,,,,,,,,,promotable_user,analytics,,none,none,,,"{'highlightedLabel': {'r': {'ok': {}}, 'ttl': -1}}",False,読売新聞オンライン
896962043051294720,896962043051294720,大手町アカデミア,oteacademia,,大手町アカデミアはニュースサイト「読売新聞オンライン」と論壇誌「中央公論」が共同運営する教養講座です。第一線の講師陣による「学び」をご提供します。,,{'description': {'urls': []}},False,199,0,199,0,4,Mon Aug 14 05:09:50 +0000 2017,26,,,False,False,247,80,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1091182899246714881/js2pY4oT_normal.jpg,https://pbs.twimg.com/profile_images/1091182899246714881/js2pY4oT_normal.jpg,https://pbs.twimg.com/profile_banners/896962043051294720/1549624520,,,"{'palette': [{'rgb': {'red': 255, 'green': 255, 'blue': 255}, 'percentage': 68.57}, {'rgb': {'red': 179, 'green': 146, 'blue': 65}, 'percentage': 29.41}, {'rgb': {'red': 215, 'green': 202, 'blue': 162}, 'percentage': 1.57}, {'rgb': {'red': 207, 'green': 188, 'blue': 143}, 'percentage': 0.45}]}","{'mediaStats': {'r': {'missing': None}, 'ttl': -1}}",,,"{'palette': [{'rgb': {'red': 145, 'green': 67, 'blue': 91}, 'percentage': 53.58}, {'rgb': {'red': 213, 'green': 197, 'blue': 200}, 'percentage': 40.13}, {'rgb': {'red': 174, 'green': 133, 'blue': 142}, 'percentage': 6.29}]}","{'mediaStats': {'r': {'missing': None}, 'ttl': -1}}",1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,,,False,,,,,,,,,none,,,none,none,,,"{'highlightedLabel': {'r': {'ok': {}}, 'ttl': -1}}",False,読売新聞オンライン
